RT @YungTrello: 😂😴Choyces Wanna Play with us	other
My new hair color though! 😍🙃	other
"Fuck Valentine day 💖🤔☝ 	other
@prettyNuski_  😩	other
Ask me anything  https://t.co/YgEcWo1i8y	aggress
Crazy how uu always there for a mfer and they treat you like shit 🤧💯	other
RT @Rekofromthe5: @Bossman_Bucks Yeah im straight wbu	other
@Harambabez fuck on dude	other
RT @James_ThatNigga: Choyces Funny asl😂	other
Think ima put sum clothes on later 😫 All this cute shit and ion be on nun!	other
@prettyNuski_ girl gone	other
"RT @sweatsXstew: Everybody Always Worried About What Another Mf Doing With They Money	other
Parkway Fucked Up	other
RT @JaylaG___: Keep calm and carry on 🖤	other
TAKE ME BACK WHEN SHIT WAS GOOD HOMIE 😔 @BIG__RACKS https://t.co/7ss8g6SQut	other
RT @TaraBaybeee: Do more and say less 🤐💯	other
@KayyHisFav__ on gang	other
@kamari_keeper we always saying the same thing all the time 🤦🏽‍♀️ DM me	other
"RT @__ahreeeee: @younggodumb Happy Birthday Fave	other
RT @younggodumb: Forever Mood Rest Up @Stl_trell https://t.co/d0WyhyocLa	loss
👀👀👀 https://t.co/N6KMJ7kZUW	other
RT @laurynanisa: I need food 🙄	other
Damn Chicago getting worse by the day 😪💔🕊🙏	other
RT @Kaya_Nosingles: When Everybody Turn they Back On My Stayed Up 56nights PLOTTIN🙇🏾‍♀️	other
It's late but I'm up thinking bout money 🤔🗣	other
Mad asl 😤	other
On baldy I dropped tears	loss
Keep my distance from dese haters💤	other
@__AlexissNicole fb	other
This shit is sick😭😭😭	loss
Release the cash 🤗 watch it fall slowly😩🗣	aggress
"RT @TyGLIZZY087_: Niggas hoes 	other
"RT @warhxlSS: When you ask to use your homeboys crib for your music video	other
RT @FreeKerryHOE: Onaguyz Choyces Nem Got That Song In My Head	other
Cause I need somebody😫 Who will stand by me😭😭😭	loss
Woods with gang nem	other
RT @_xsavannah__: Happy bday bro love you stay safe ❤️🤞🏼@younggodumb	other
RT @Jumoney49: SomeWhere You Not 🤣😌 https://t.co/0Nazxb3ss3	other
RT @TheFamousNumba9: 2:21 Forever 🤦‍♂️👌🏽	other
Lil durk x internet 😈🤔	other
I been tryin too better myself 🤐💯 ain't into dem big crowds nomo💯💯💯	other
@BlueIvyyyyyy smh	other
RT @Finni_Riann: Naw fr 😪 https://t.co/zWEsHrszh5	other
See you at the crossroads 😭🕊	loss
Send emojis 🤔	other
"RT @CEO_A1: Ain't no love in shit no more	other
https://t.co/QKxaHhy97x	other
Ima keep yo name litt Forevaaaaa @tyb_topshoota 🗣🗣	other
RT @DopeAndShrimp: @Bossman_Bucks wait 🤦🏾‍♂️	other
🗣💯 https://t.co/W1GqIJbEyR	other
My nails look cute 🙃💅	other
RT @JealousOfRere: SnitchK 😕	other
RT @AutiB_: 6. Favorite Hood Classic? https://t.co/AOzyFADZnO	other
RT @Rekofromthe5: Lil Niggaz With Big Guns 😔 https://t.co/p4o2z0dhF9	other
Tomorrow really valentines day huh😭🙄	other
RT @kamari_keeper: But I Got Some Niggas That's Really All Down To Ride For Me✊🏾🅿️💯 #No Questions	other
RT @DreadDrillinJay: Me every night 😩 https://t.co/RUM5zSlLSw	loss
RT @bcity79: 🙈🙈🙈 https://t.co/WCHFgC2Yhh	other
@MacDaddyBaby__  b like dat 😴	other
I lost two of my niggas dis yea 😔 RIP YOGI👹 RIP JUNJUN😈🙏🏾💯	loss
It's been 9 murders in 48hours 😷 Chicago gotta do better 💯	other
RT @jyndonce: WOO Beyonce really did that on the 1st day of black history month https://t.co/XmRksw8MoJ	other
RT @campaignunique: @Bossman_Bucks u don't really be tryna get high fam	other
RT @NunuMfingG: Choyces don't be having no chills she be having me dead😂💯	other
RT @LilFool_: I control my own life	other
Stay On My 10 Toes	other
Dinner is done😘	other
Cooling 🤔	other
Blacking out 😶 https://t.co/tWkTPcreCO	aggress
@PrincessDaG_ lil ass Dope you be smoking 😂😩	other
