355	831508599486685184	William	this user is making a comment about people in general loving or hating you. He is saying there is no in between.	["supply"]	["pos_sentiment"]	f	0.0	Not threatening. He is making a general statement about life.	This user is making a general statement about people he comes across in life. He is also making a statement that is commentary for everyone else. Everyone you come across with either love you or hate you. 'gone'  'going to'. He then uses the smiling hug emoji to show how he doesn't care about whether they love him or hate him.	2017-05-16 10:00:06.701384	["GEN","REFLECT"]		f	["Other"]
321	830566253026766850	Kyle	Younggodumb is hungry. First blush I would assume this is about eating food. But "hungry" could also be in reference to making money achieving status other gang related activity.	["supply"]	["neg_sentiment"]	f	0.0	This post is not a threat but appears to be about food and eating.	Youngogdumb is really hungry. The conversation that takes place around this tweet involves an older person asking what younggodumb is going to get "us" to eat and younggodumb replies he doesn't know. This still could be about something other than food. But it mostly seems like a post about eating.	2017-05-15 13:09:55.117523	["GEN"]		f	["Other"]
338	830978119855124482	Kyle	This is a retweet of a video where a well dressed young african american man has a single cigarette behind his ear in a setting you wouldn't typically expect to see this kind of thing. Younggodumb retweets this video at his friend mikelee_145. This appears to be a joke between friends.	["supply","repeat"]	["entertain"]	f	0.0	This is not a threat seems like younggodumb is tweeting this video at mikelee as a form of entertainment/joke.	This retweet is of a video where a man has a cigarette behind his ear in a formal location.	2017-05-15 14:25:51.1839	["RETWEET","CONVO"]		f	["Other"]
12	692398851458744320	Kyle	Reese is letting Bosstop know that the thinks his new album "problem child" is amazing. This is a compliment directed at bosstop	["supply","repeat"]	["pos_sentiment"]	f	0.0	This is a compliment not a threat.	Reese thinks the new album is absolutely amazing.	2017-03-21 21:15:22.471565			f	[]
416	833949984592650240	William	I am not completely sure what this means. It could mean that he continues to sell drugs always.	["supply"]		f	0.0	Not threatening. Just talking about what he is doing.	I believe he could mean he continues to sell drugs. 'pressin' meaning selling or pushing drugs. 'My shit' in this instance could mean the drugs he is intending to sell.	2017-05-18 15:56:18.546524	["AOD"]		f	["Aggression"]
1571	832052123420467201	Chloe	TriggalilSis most likely did something that is prompting this user to tell her to chill.	["supply","repeat"]		f	0.0	This tweet is not threatening.	TriggalilSis is retweeting a young woman who is expressing that choyces needs to chill. This is most likely in response to what I believe was choyces beating up another person or just in general getting into arguments with people. The user used 2 weary emoji 2 tears of joy emojis and 5 crying emojis most likely representing that the tweet is made more jokingly than insulting and serious. This tweets was from july 2015. TriggalilSis most likely agrees with this tweet or found it funny and wanted to retweet it on her timeline. The link included in the tweet is unavailable. 

'Choyces has to chill'	2017-06-20 08:36:47.161602	["RETWEET","JOKE"]		f	["Other"]
1982	834460051440013312	Chloe	r			f	0.0	r	r	2017-07-08 12:22:35.965742			f	[]
266	830448883432042497	William	this user's birthday is soon.	["supply"]	["pos_sentiment"]	f	0.0	Not threatening just mentioning his birthday.	This user is letting his followers know that his birthday is coming up soon.	2017-05-11 12:07:16.215847	["GEN"]	Birthday	f	["Other"]
265	830447547554598913	William	I believe he is saying that him and his crew just fought someone or people over 4 ecstasy pills.	["supply"]	["pos_sentiment"]	f	0.7	this is somewhat threatening as it suggests that they engaged in offline violence over some drugs. There is a possibility that this could lead to retaliation and more violence.	This user is saying that they just fought someone or a group of people over 4 pills of ecstasy or other pills (drugs). booted up  fought beat people up. flatz  pills (often ecstasy pills). I also believe 'of' is being used here to mean 'off'. Meaning they just fought because of 4 pills.	2017-05-11 12:05:56.597125	["BRAG","AOD","FIGHT"]		f	["Aggression"]
